ISBN;TITOLO;ANNO PUBBLICAZIONE;DATA AGGIUNTA;GENERE;TIPO;AUTORE/I;EDITORE;COLLANA;LINGUA;NUMERO COPIE;PREZZO;SCAFFALE;RIPIANO;
N.D.;Arte Decorativa e Design;1972;\;Arte;\;Le Corbusier;Laterza;N.D.;Italiano;1;35000L;2;1;
88-8118-894-5;Magritte;2001;\;Arte;\;Steingrim Laursen;Skira;N.D.;Italiano;1;N.D.;2;1;
978-88-09-05409-7;Leonardo in Cina;2007;\;Arte;\;Paolo Galluzzi e Giuseppe Marucci;Giunti;N.D.;Italiano;1;N.D.;2;1;
N.D.;Grafica Italiana Contemporanea;1965;\;Grafica;Catalogo;Anna Rosa Masetti;Edizioni di Comunità;N.D.;Italiano;1;N.D.;2;1;
N.D.;Film il Cinema Muto;1980;\;Cinema;\;Hugo Munstemberg;Pratiche;N.D.;Italiano;1;3000L;2;1;
88-7179-098-7;Architettura di Roma Antica;1993;\;Arte;\;Federica Motta;Motta;N.D.;Italiano;1;130000L;2;1;
N.D.;Architetto;1997;\;Arte;\;Vanni Mannucci;Colombo;N.D.;Italiano;1;N.D.;2;1;
88-08-13484-9;Osservare Interpretare Inventare;1993;\;Arte;Libro di Scuola;Paola Bersi Carlo Ricci;Zanichelli;N.D.;Italiano;1;41000L;2;1;
N.D.;Ourense;2009;\;Arte;\;\;Concello De Ourense;N.D.;Spagnolo;1;N.D.;2;1;
88-06-12962-7;Il Vaso di Pandora;1962;\;Arte;\;Dora e Erwin Panofsky;Einaudi;N.D.;Italiano;1;32000L;2;1;
N.D.;Il Modulor;1974;\;Arte;\;Le Corbusier;Gabriele Mazzotta;Planning e Design;Italiano;1;10000L;2;1;
N.D.;Il Modulor;1974;\;Arte;\;Le Corbusier;Gabriele Mazzotta;Planning e Design;Italiano;1;10000L;2;1;
N.D.;Dada;1964;\;Arte;\;Gabriele Mazzotta e Carlo Giani;Gabriele Mazzotta;Dada;Italiano;1;N.D.;2;1;
N.D.;Soldati;1965;\;Arte;\;Pier Carlo Santini;Edizioni di Comunità;N.D.;Italiano;1;1400L;2;1;
978-88-452-6837-3;Viaggio Sentimentale nell'Italia ;2010;\;Arte;\;Vittorio Sgarbi;Bompiani;I Grandi Tascabili;Italiano;1;12,90 €;2;1;
978-88-452-6796-3;L'italia delle Meraviglie;2009;\;Arte;\;Vittorio Sgarbi;Bompiani;I Grandi Tascabili;Italiano;1;12,90 €;2;1;
88-06-12791-8;91 al Cinema;1991;\;Cinema;\;Lietta Tornabuoni;Einaudi;I Tascabili;Italiano;1;11.000 €;2;1;
N.D.;Piccola Città;1938;\;Arte;\;Thornton Wilder ;Nuova Immagine;N.D.;Italiano;1;10000L;2;1;
88-85669-59-X;Castelporziano III;1998;\;Arte;\;Maria Giuseppina Lauro;Viella;N.D.;Italiano;1;65000L;2;1;
978-88-17-052597;Classico ribelle;2011;\;Musica;\;Giovanni Allevi;Rizzoli;N.D.;Italiano;1;16 €;2;2;
88-87577627;Il manuale di chitarra;2003;\;Musica;Manuale;AA.VV.;Polo books;N.D.;Italiano;1;12 €;2;2;
978-88-07-49133-7;La musica è un tutto;2012;\;Musica;\;Daniel Barenboim;Feltrinelli;N.D.;Italiano;1;N.D.;2;2;
N.D.;Magia dei suoni;N.D.;\;Musica;\;Romano Becatti;Fratelli Fabbri Editori;N.D.;Italiano;1;1950L;2;2;
88-350-8132-7;L'esperienza e la musica;N.D.;\;Musica;\;Maurizio Della Casa;La scuola;N.D.;Italiano;1;29500L;2;2;
88-87577947;Il pianoforte facile;2008;\;Musica;\;Paolo Cavazzini;Polo books;N.D.;Italiano;1;19 €;2;2;
88-87577-20-X;Suonare la chitarra elettrica;2000;\;Musica;\;Andrea Carpi e Paolo Somigli;Polo books;I quaderni di chitarra;Italiano;1;24000L;2;2;
88-85988-00-8;Saigon era Disneyland;1991;\;Satira;\;Gino & Michele;Baldini Castoldi;N.D.;Italiano;1;15000L;2;2;
88-06-12158-8;Gli enciclopedisti e la musica;1971;\;Musica;\;Enrico Fubini;Einaudi;N.D.;Italiano;1;25000L;2;2;
88-87577-65-3;Le scale e i modi;2003;\;Musica;;Jerry Hall;Polo books;N.D.;Italiano;2;10 €;2;2;
N.D.;Il manuale completo del Blues elettrico;1998;\;Musica;Manuale;Joshua G. Jackson;Polo books;N.D.;Italiano;1;42000L;2;2;
88-06-13381-0;Breve storia della musica;1963;\;Musica;\;Massimo Mila;Einaudi;N.D.;Italiano;1;16000L;2;2;
88-7134-412-X;Silenzio si suona!;1995;\;Musica;Libro di scuola;Gabriella Panichi;Edizioni del quadrifoglio;N.D.;Italiano;1;39500L;2;2;
88-87577-40-4;Leggere e suonare;2002;\;Musica;\;Robert Pagano;Polo books;N.D.;Italiano;2;12.39€;2;2;
N.D.;Toscanini;N.D.;\;Musica;\;Beppe Ramello;Il Giornalino;N.D.;Italiano;1;N.D.;2;2;
88-87577-80-9;Tecniche per chitarra blues;2006;\;Musica;\;Waine Riker;Polo books;N.D.;Italiano;1;15 €;2;2;
88-7016-020-3;Solus christus;1985;\;Musica;\;Vittorio Subilia;Sola scriptura;N.D.;Italiano;1;N.D.;2;2;
88-87577-44-7;Un filosofo in panchina;2002;\;Filosofia;\;Malio Scopigno;Polo books;N.D.;Italiano;1;10 €;2;2;
88-87577-70-2;Quelli del blues;2005;\;Musica;\;Robert Todd;Polo books;N.D.;Italiano;1;15 €;2;2;
88-87577-13-7;Gli accordi con il barré;2000;\;Musica;\;Giorgio Verani;Polo books;N.D.;Italiano;1;24000L;2;2;
88-87577-61-1;I fraseggi con il basso elettrico;2003;\;Musica;\;Robert Vees;Polo books;N.D.;Italiano;1;12 €;2;2;
N.D.;Introduzione a Parmenide;1975;\;Filosofia;\;Antonio Capizzi;Laterza;I filosofi;Italiano;1;2000L;2;2;
N.D.;Introduzione a Gentile;1974;\;Filosofia;\;Aldo Lo Schiavo;Laterza;I filosofi;Italiano;1;1900L;2;2;
N.D.;Introduzione a Abelardo;1974;\;Filosofia;\;M. Teresa Beonio-Brocchieri;Laterza;I filosofi;Italiano;1;1200L;2;2;
